gene,log2FC,t_stat,p_value,p_adjusted
G6PD,0.731085429450446,7.421821973376024,8.578489003997926e-13,8.578489003997926e-10
CBX2,0.6866962775658527,6.9085440406157765,2.265845898664778e-11,2.265845898664778e-08
CEP55,0.6837499127402029,6.87495688387323,2.7906914363556438e-11,2.790691436355644e-08
KIF2C,0.6818245002751547,6.853039239078798,3.195828324365138e-11,3.195828324365138e-08
PLK1,0.6788112290307682,6.818787219808981,3.947400649962659e-11,3.947400649962659e-08
TRIP13,0.6686480283340912,6.703697965291717,7.980979596611923e-11,7.980979596611922e-08
EGLN3,0.6666134519108491,6.6807380531929565,9.174735650898072e-11,9.174735650898071e-08
MYBL2,0.6663924620241084,6.67824580667452,9.314414222035518e-11,9.314414222035517e-08
DLGAP5,0.6631239634088087,6.641420958748194,1.1638670035227503e-10,1.1638670035227503e-07
NEIL3,0.6563479211696523,6.565292130137934,1.8393169321401617e-10,1.8393169321401617e-07
SLC16A3,0.656102586240759,6.5625411698238,1.8698502206139955e-10,1.8698502206139954e-07
DNASE1L3,-0.6557213734154463,-6.558267327056345,1.9182751812104126e-10,1.9182751812104126e-07
CDC20,0.6499572200409607,6.493753792763536,2.8175570537717623e-10,2.8175570537717624e-07
E2F2,0.6388855034514371,6.370403938214075,5.829963692842345e-10,5.829963692842345e-07
NR0B1,0.6359417300136683,6.337730854440522,7.055888371019112e-10,7.055888371019112e-07
ANLN,0.6345268590719793,6.322045378809679,7.730880766486562e-10,7.730880766486562e-07
CENPA,0.6311841133447129,6.285033858242974,9.584239848555573e-10,9.584239848555573e-07
SPP1,0.626142591596045,6.229336279100866,1.3219782048492461e-09,1.3219782048492462e-06
CLEC3B,-0.6244153526124914,-6.210287946309637,1.4749372141808199e-09,1.4749372141808199e-06
IQGAP3,0.6241019707849211,6.206833740070772,1.5044724403785294e-09,1.5044724403785294e-06
KIF4A,0.6206667970481636,6.169006863117821,1.8682783963939483e-09,1.8682783963939482e-06
RNFT2,0.6205833648807053,6.168088978045028,1.8780990927301835e-09,1.8780990927301834e-06
PPFIA4,0.620060252395942,6.162334795759929,1.940825500739826e-09,1.940825500739826e-06
TTK,0.6179001844044685,6.138590732316592,2.22205457533481e-09,2.22205457533481e-06
SLC1A5,0.6150297141550128,6.107078471978221,2.6575580406069575e-09,2.6575580406069576e-06
TREM1,0.6109136658574721,6.061972662744893,3.4293272924761676e-09,3.4293272924761674e-06
ATP6V0D2,0.6106961906286967,6.059592077712473,3.4756447873285282e-09,3.4756447873285283e-06
CDC6,0.6104203399336579,6.0565728804301235,3.5352677416986156e-09,3.5352677416986154e-06
HJURP,0.6102780079041983,6.055015205183064,3.5664184550573997e-09,3.5664184550573996e-06
SOCS2,-0.6069914823407748,-6.019078830343331,4.364377031355853e-09,4.364377031355853e-06
MCM10,0.6052282007950103,5.999822795724977,4.8612178188014865e-09,4.8612178188014865e-06
KIF20A,0.6002124070148469,5.94514025685065,6.592984133269357e-09,6.592984133269357e-06
SPC25,0.5991775300024167,5.933874931789426,7.01825865240374e-09,7.01825865240374e-06
KIF18A,0.5977119256390911,5.917930714917555,7.666270975466363e-09,7.666270975466364e-06
BUB1,0.5972529996156493,5.912940461514335,7.880834097887311e-09,7.88083409788731e-06
CDK1,0.5961308135611902,5.900742837638322,8.430271155474744e-09,8.430271155474744e-06
CENPM,0.5953742975230838,5.892523665312444,8.82140844553655e-09,8.82140844553655e-06
SOX11,0.5946402755379483,5.884551802421539,9.217675650652851e-09,9.217675650652851e-06
KLKB1,-0.5945506310201842,-5.883578416062418,9.267235563474565e-09,9.267235563474564e-06
EXO1,0.5927050498319397,5.863547996255961,1.034679733115041e-08,1.0346797331150411e-05
CENPI,0.59232302045076,5.859404019710709,1.0584998243701382e-08,1.0584998243701383e-05
CDC45,0.5922126851501924,5.858207330082965,1.065477572144629e-08,1.065477572144629e-05
GTSE1,0.5916319568463468,5.851909835538115,1.1029437000106656e-08,1.1029437000106656e-05
NCAPG,0.5878691669979857,5.811148760701683,1.3784731738712006e-08,1.3784731738712006e-05
NDC80,0.587639538342634,5.80866367760908,1.397287300489622e-08,1.397287300489622e-05
SORD,-0.5875009679521779,-5.8071641783543395,1.4087606782493466e-08,1.4087606782493465e-05
SCIN,0.5872680609155436,5.804644055224007,1.428250678971257e-08,1.428250678971257e-05
BDH1,-0.5867425424872614,-5.798958860683261,1.4731895411414201e-08,1.47318954114142e-05
GINS1,0.584947022050798,5.779545324359876,1.637284907553588e-08,1.637284907553588e-05
WDR62,0.583940688590014,5.7686719720923705,1.7368448868493964e-08,1.7368448868493963e-05
CDCA2,0.5837297003021644,5.7663929228972926,1.7584488390316978e-08,1.7584488390316978e-05
MKI67,0.5837006792515,5.766079465083277,1.761440645988972e-08,1.761440645988972e-05
PKM2,0.5833827183617513,5.7626454113342165,1.7945438713261123e-08,1.7945438713261122e-05
