Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,G2-M Checkpoint,5/200,0.003046494595945,0.100534321666186,0,0,5.433416046319272,31.47992845042133,CCNA2;CENPE;ESPL1;PBK;RAD54L
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,2/23,0.0056227260312807,0.1897670035557248,0,0,19.723214285714285,102.18476366317736,ATP1A3;PCK2
KEGG_2021_Human,HIF-1 signaling pathway,4/109,0.0020351199800962,0.1897670035557248,0,0,8.023100303951368,49.72076124365773,PFKFB3;EPO;SLC2A1;TEK
KEGG_2021_Human,AMPK signaling pathway,4/120,0.0028846560532729,0.1897670035557248,0,0,7.258253851797505,42.44880604786638,CCNA2;PFKFB3;PPP2R2C;PCK2
KEGG_2021_Human,Adipocytokine signaling pathway,3/69,0.0047302651564019,0.1897670035557248,0,0,9.49090909090909,50.81218251342342,SLC2A1;PRKCQ;PCK2
KEGG_2021_Human,Insulin secretion,3/86,0.0087036650649239,0.207681336179269,0,0,7.540519974635384,35.77231023474443,ABCC8;SLC2A1;ATP1A3
KEGG_2021_Human,Bile secretion,3/90,0.0098521169582171,0.207681336179269,0,0,7.192377495462795,33.22927978001314,UGT2B15;SLC2A1;ATP1A3
KEGG_2021_Human,Rheumatoid arthritis,3/93,0.010768661875962,0.207681336179269,0,0,6.951578947368421,31.498403927350935,MMP3;CXCL1;TEK
KEGG_2021_Human,Insulin resistance,3/108,0.0160762619126577,0.2712869197760996,0,0,5.953984962406015,24.59240802131859,SLC2A1;PRKCQ;PCK2
MSigDB_Hallmark_2020,E2F Targets,4/200,0.0169055476223315,0.2789415357684708,0,0,4.278332609639601,17.456082420924414,CENPE;DIAPH3;ESPL1;DLGAP5
KEGG_2021_Human,ABC transporters,2/45,0.0205207879675269,0.3005932151090765,0,0,9.621608527131784,37.392619433922775,ABCA6;ABCC8
KEGG_2021_Human,Pyruvate metabolism,2/47,0.0222661640821538,0.3005932151090765,0,0,9.193055555555556,34.97669950050644,ADH6;PCK2
KEGG_2021_Human,Malaria,2/50,0.0249948795228368,0.3067553395984524,0,0,8.6171875,31.789531066243494,KLRK1;KLRB1
MSigDB_Hallmark_2020,KRAS Signaling Dn,3/200,0.0752775128137596,0.3548797032648668,0,0,3.1586962329682073,8.170200992229566,GP1BA;ITGB1BP2;SLC6A3
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,3/200,0.0752775128137596,0.3548797032648668,0,0,3.1586962329682073,8.170200992229566,SGCB;MMP3;CXCL1
MSigDB_Hallmark_2020,Complement,3/200,0.0752775128137596,0.3548797032648668,0,0,3.1586962329682073,8.170200992229566,GZMK;CXCL1;GP1BA
